Indicator,S.No.,Parameters,Type,_Tamil Nadu,Ariyalur,Chennai,Coimbatore,Cuddalore,Dharmapuri,Dindigul,Erode,Kancheepuram,Kanniyakumari,Karur,Krishnagiri,Madurai,Nagapattinam,Namakkal,Nilgiris,Perambalur,Pudukkottai,Ramanathapuram,Salem,Sivaganga,Thanjavur,Theni,Thiruvallur,Thiruvarur,Tiruchirappalli,Tirunelveli,Tirupur,Tiruvanamalai,Toothukudi,Vellore,Viluppuram,Virudhunagar
M1 [Ante Natal Care (ANC)],1.1,Total number of pregnant women registered for ANC,TOTAL,878863,10337,77079.0,45881,29708.0,22576.0,24933,22121.0,42666.0,20833,11954.0,24997.0,42368.0,17731.0,17111.0,6509,7864.0,21762,18356.0,47090.0,16121.0,28407,14658,29124.0,15565,33325.0,36304,27678.0,31171.0,18270.0,49392,44510,22462
M1 [Ante Natal Care (ANC)],1.1.1,"Out of the total ANC registered, number registered within 1st trimester (within 12 weeks)",TOTAL,816134,9501,70206.0,41048,28455.0,21632.0,23403,20901.0,37998.0,20278,11684.0,21069.0,39561.0,17219.0,14748.0,6177,7141.0,19921,17477.0,44097.0,15745.0,26696,12256,28146.0,14923,30963.0,33402,26807.0,29476.0,17458.0,45401,41448,20897
M1 [Ante Natal Care (ANC)],1.2.1,Number of PW given TT1,TOTAL,738398,7563,59862.0,41617,28627.0,18469.0,19568,20973.0,39787.0,21002,9966.0,19572.0,35430.0,17459.0,14794.0,5478,5259.0,16222,14686.0,37014.0,12076.0,26879,12009,24970.0,15390,26013.0,33623,26484.0,22669.0,17705.0,36169,30816,20247
M1 [Ante Natal Care (ANC)],1.2.2,Number of PW given TT2,TOTAL,721837,7275,59651.0,43134,28467.0,16584.0,18593,21083.0,40801.0,21516,9743.0,19005.0,32905.0,17427.0,15045.0,5123,5442.0,15938,14942.0,36164.0,11756.0,25973,11497,23876.0,15441,25815.0,31475,24729.0,21336.0,17432.0,34954,28550,20165
M1 [Ante Natal Care (ANC)],1.2.3,Number of PW given TT Booster,TOTAL,149018,2768,736.0,4604,3737.0,6280.0,6158,2616.0,1173.0,0,2490.0,6402.0,9083.0,85.0,3598.0,713,2435.0,5462,4872.0,11972.0,4397.0,1881,2622,4632.0,120,7840.0,5129,5719.0,9957.0,933.0,13845,15231,1528
M1 [Ante Natal Care (ANC)],1.2.4,Number of PW given 180 Iron Folic Acid (IFA) tablets,TOTAL,843838,8513,77172.0,42972,25807.0,21947.0,54510,21482.0,45340.0,20708,10237.0,22567.0,35919.0,27167.0,16789.0,8986,7678.0,19801,16234.0,37421.0,14165.0,21329,12708,29092.0,14783,24242.0,31250,36437.0,29096.0,13836.0,42753,34046,18851
M1 [Ante Natal Care (ANC)],1.2.5,Number of PW given 360 Calcium tablets,TOTAL,315910,95,0.0,32089,42349.0,11441.0,6932,12689.0,5494.0,18048,6434.0,16391.0,29440.0,4692.0,6586.0,0,7103.0,8270,71.0,10609.0,13247.0,11154,1277,1358.0,4195,9019.0,3297,2788.0,23.0,5073.0,29127,15645,974
M1 [Ante Natal Care (ANC)],1.2.6,Number of PW given one Albendazole tablet after 1st trimester,TOTAL,325372,880,0.0,25921,16237.0,11405.0,7933,13713.0,5840.0,17862,6953.0,14948.0,17672.0,4421.0,7470.0,0,7151.0,13655,5957.0,28476.0,8436.0,15134,1271,0.0,1431,8359.0,8489,17412.0,136.0,6123.0,23557,19031,9499
M1 [Ante Natal Care (ANC)],1.2.7,Number of PW received 4 or more ANC check ups,TOTAL,798909,8900,74712.0,42183,27374.0,21283.0,23117,21036.0,39230.0,20461,10946.0,23945.0,37520.0,13713.0,15852.0,5488,7307.0,19331,17442.0,45000.0,15883.0,21860,13868,24509.0,14283,29640.0,31362,24949.0,28782.0,16508.0,44547,36597,21281
M1 [Ante Natal Care (ANC)],1.2.8,Number of PW given ANC Corticosteroids in Pre Term Labour,TOTAL,9191,35,0.0,349,0.0,88.0,93,665.0,952.0,379,169.0,475.0,508.0,393.0,913.0,185,0.0,95,229.0,273.0,291.0,440,62,36.0,249,254.0,284,199.0,69.0,152.0,77,132,1145
M1 [Ante Natal Care (ANC)],1.3.1,New cases of PW with hypertension detected,TOTAL,45751,367,7372.0,509,1033.0,360.0,1340,607.0,1985.0,490,299.0,942.0,2538.0,559.0,794.0,226,371.0,4786,602.0,1817.0,828.0,6031,321,751.0,195,1680.0,1085,685.0,1611.0,748.0,2308,1384,1127
M1 [Ante Natal Care (ANC)],1.3.1.a,"Out of the new cases of PW with hypertension detected, cases managed at institution",TOTAL,27416,310,3803.0,183,901.0,205.0,1328,666.0,1429.0,263,252.0,824.0,1955.0,471.0,565.0,183,355.0,563,502.0,1006.0,1340.0,1243,252,510.0,162,1190.0,794,632.0,1440.0,516.0,1974,748,851
M1 [Ante Natal Care (ANC)],1.3.2,Number of Eclampsia cases managed during delivery,TOTAL,2146,118,176.0,12,78.0,22.0,40,18.0,40.0,1,30.0,65.0,21.0,9.0,4.0,12,23.0,19,30.0,577.0,95.0,192,20,22.0,32,68.0,56,36.0,29.0,0.0,189,14,98
M1 [Ante Natal Care (ANC)],1.4.1,Number of PW tested for Haemoglobin (Hb ) 4 or more than 4 times for respective ANCs,TOTAL,2065540,29010,272857.0,36202,6741.0,24286.0,9016,57112.0,78092.0,19830,36501.0,65431.0,78472.0,41377.0,25473.0,12187,2276.0,31071,30475.0,64646.0,60714.0,58263,47260,88249.0,25355,104227.0,95861,77969.0,109913.0,54260.0,165939,152579,103896
M1 [Ante Natal Care (ANC)],1.4.2,Number of PW having Hb level<11 (tested cases)(7.1 to 10.9),TOTAL,2364905,22140,189820.0,50400,73436.0,72355.0,84812,49263.0,85273.0,17714,37160.0,88144.0,115799.0,41956.0,60826.0,9318,5029.0,49393,73888.0,130403.0,69669.0,62533,55440,76167.0,30375,104492.0,81742,75705.0,92109.0,49575.0,184102,131153,94714
M1 [Ante Natal Care (ANC)],1.4.3,Number of PW having Hb level<7 (tested cases),TOTAL,67787,1725,3406.0,2134,2531.0,706.0,5248,1066.0,1051.0,229,1276.0,1349.0,2593.0,570.0,3988.0,164,496.0,849,6759.0,5147.0,5197.0,2626,730,1303.0,458,2267.0,952,795.0,2178.0,1605.0,3321,2682,2386
M1 [Ante Natal Care (ANC)],1.4.4,Number of PW having severe anaemia (Hb<7) treated,TOTAL,23568,353,1686.0,1188,1437.0,247.0,1066,378.0,476.0,143,558.0,808.0,861.0,318.0,713.0,55,287.0,215,980.0,1420.0,1505.0,754,237,857.0,86,976.0,458,507.0,546.0,837.0,900,1246,1470
M1 [Ante Natal Care (ANC)],1.5.1,Number of PW tested for blood sugar using OGTT (Oral Glucose Tolerance Test),TOTAL,1179930,14895,165447.0,25299,28884.0,21442.0,34439,22979.0,60900.0,21803,11674.0,27693.0,42396.0,27174.0,22958.0,5593,15614.0,21562,36728.0,59509.0,25239.0,31118,23558,45420.0,18156,42291.0,45432,28159.0,45186.0,26279.0,69323,86493,26287
M1 [Ante Natal Care (ANC)],1.5.2,Number of PW tested positive for GDM,TOTAL,26216,180,6122.0,679,1129.0,349.0,295,561.0,1267.0,657,235.0,211.0,818.0,894.0,216.0,39,416.0,622,787.0,754.0,452.0,1741,182,750.0,216,885.0,1245,839.0,564.0,1206.0,1019,566,320
M1 [Ante Natal Care (ANC)],1.5.3,Number of PW given insulin out of total tested positive for GDM,TOTAL,6086,112,1722.0,125,106.0,18.0,96,129.0,118.0,79,141.0,128.0,234.0,253.0,47.0,15,129.0,47,70.0,178.0,180.0,490,83,112.0,108,456.0,141,263.0,78.0,90.0,112,139,87
M1 [Ante Natal Care (ANC)],1.6.1.a,Number of PW tested using POC test for Syphilis,TOTAL,0,0,,0,,,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,,0,0.0,0.0,0.0,0,0,,0,0.0,0,0.0,,,0,0,0
M1 [Ante Natal Care (ANC)],1.6.1.b,"Out of above, number of PW found sero positive for syphilis",TOTAL,0,0,,0,,,0,0.0,0.0,0,,,0.0,0.0,0.0,0,,0,0.0,0.0,0.0,0,0,,0,0.0,0,0.0,,,0,0,0
M1 [Ante Natal Care (ANC)],1.6.2.a,Number of pregnant women tested for Syphilis,TOTAL,254142,1740,19580.0,11664,6568.0,1054.0,15210,2294.0,4866.0,2601,12608.0,5941.0,4073.0,6272.0,4887.0,2733,701.0,2410,3353.0,4548.0,8820.0,4564,2500,3309.0,3280,16503.0,27598,8561.0,5321.0,4455.0,31803,19503,4822
M1 [Ante Natal Care (ANC)],1.6.2.b,Number of pregnant women tested found sero positive for Syphilis,TOTAL,714,1,0.0,249,12.0,0.0,0,4.0,0.0,0,0.0,1.0,7.0,62.0,2.0,0,0.0,0,0.0,2.0,2.0,0,0,1.0,0,116.0,0,0.0,107.0,1.0,2,145,0
M1 [Ante Natal Care (ANC)],1.6.2.c,Number of syphilis positive pregnant women treated for Syphilis,TOTAL,73,1,0.0,4,12.0,13.0,0,1.0,0.0,0,0.0,1.0,3.0,0.0,0.0,0,0.0,0,0.0,2.0,2.0,0,0,1.0,0,29.0,0,0.0,0.0,1.0,2,1,0
M1 [Ante Natal Care (ANC)],1.6.2.d,Number of babies diagnosed with Congenital Syphilis,TOTAL,4,0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,2.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0,1.0,0,0.0,0.0,1.0,0,0,0
M1 [Ante Natal Care (ANC)],1.6.2.e,Number of babies treated for congenital Syphilis,TOTAL,18,0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,1.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,15,1.0,0,0.0,0.0,1.0,0,0,0
